customerid;personid;storeid;territoryid
362;NULL;756;1
363;NULL;374;3
364;NULL;1228;3
365;NULL;754;4
366;NULL;376;4
367;NULL;1226;4
368;NULL;752;5
369;NULL;362;5
370;NULL;1224;6
371;NULL;750;6
372;NULL;1852;6
373;NULL;1222;7
374;NULL;748;8
375;NULL;1854;9
376;NULL;1220;10
377;NULL;746;3
378;NULL;1856;2
379;NULL;1218;1
380;NULL;744;1
381;NULL;1858;3
382;NULL;1216;4
383;NULL;742;4
384;NULL;1860;4
385;NULL;1214;4
386;NULL;740;5
387;NULL;1862;5
388;NULL;1212;6
389;NULL;738;6
390;NULL;1864;6
391;NULL;1210;7
392;NULL;736;8
393;NULL;1866;9
394;NULL;1208;10
395;NULL;560;3
396;NULL;1868;2
397;NULL;1206;1
398;NULL;558;1
399;NULL;1870;4
400;NULL;1110;3
401;NULL;368;1
402;NULL;460;4
403;NULL;1108;4
404;NULL;366;5
405;NULL;462;5
406;NULL;1106;6
407;NULL;380;6
408;NULL;464;6
409;NULL;1104;7
410;NULL;378;8
411;NULL;690;9
412;NULL;1102;10
413;NULL;404;2
414;NULL;692;2
415;NULL;674;1
416;NULL;402;1
417;NULL;694;4
418;NULL;672;3
419;NULL;400;4
420;NULL;696;4
421;NULL;670;4
422;NULL;1164;5
423;NULL;698;5
424;NULL;510;6
425;NULL;1162;6
426;NULL;562;6
427;NULL;508;7
428;NULL;1160;8
429;NULL;564;9
430;NULL;602;10
431;NULL;392;3
432;NULL;846;2
433;NULL;600;1
434;NULL;390;1
435;NULL;848;4
436;NULL;598;4
437;NULL;570;4
438;NULL;388;1
439;NULL;850;4
440;NULL;568;5
441;NULL;364;5
442;NULL;852;6
443;NULL;566;6
444;NULL;428;6
445;NULL;854;7
446;NULL;1926;8
447;NULL;426;9
448;NULL;856;10
449;NULL;1924;5
450;NULL;424;2
451;NULL;858;1
452;NULL;1922;1
453;NULL;926;3
454;NULL;860;3
455;NULL;1920;4
456;NULL;924;4
457;NULL;862;4
458;NULL;1918;5
459;NULL;922;5
460;NULL;864;6
461;NULL;1916;6
462;NULL;920;6
463;NULL;866;7
464;NULL;1914;8
465;NULL;918;9
466;NULL;868;10
467;NULL;1912;5
468;NULL;916;3
469;NULL;870;1
470;NULL;1910;1
471;NULL;914;4
472;NULL;872;3
473;NULL;1204;4
474;NULL;912;4
475;NULL;874;4
476;NULL;1202;5
477;NULL;910;5
478;NULL;1828;6
479;NULL;1200;6
480;NULL;908;6
481;NULL;1830;7
482;NULL;1198;8
483;NULL;906;9
484;NULL;1832;10
485;NULL;306;5
486;NULL;904;2
487;NULL;1834;1
488;NULL;304;1
489;NULL;902;4
490;NULL;1836;4
491;NULL;302;4
492;NULL;900;4
493;NULL;1838;4
494;NULL;326;5
495;NULL;898;5
496;NULL;1840;6
497;NULL;324;6
498;NULL;896;6
499;NULL;1842;7
500;NULL;322;8
501;NULL;894;9
502;NULL;1844;10
503;NULL;320;2
504;NULL;488;3
505;NULL;1846;1
506;NULL;318;1
507;NULL;486;4
508;NULL;1848;4
509;NULL;316;4
510;NULL;484;4
511;NULL;1850;4
512;NULL;352;5
513;NULL;1468;5
514;NULL;592;6
515;NULL;1908;6
516;NULL;1466;6
517;NULL;594;7
518;NULL;1906;8
519;NULL;1464;9
520;NULL;596;10
521;NULL;1904;2
522;NULL;1462;2
523;NULL;954;3
524;NULL;1902;5
525;NULL;1460;5
526;NULL;956;6
527;NULL;1900;3
528;NULL;1458;4
529;NULL;958;4
530;NULL;1898;5
531;NULL;1456;5
532;NULL;960;6
533;NULL;1896;6
534;NULL;1454;6
535;NULL;962;7
536;NULL;1250;8
537;NULL;1452;9
538;NULL;534;10
539;NULL;1248;2
540;NULL;1450;2
541;NULL;536;1
542;NULL;1246;1
543;NULL;1448;3
544;NULL;308;3
545;NULL;1244;4
546;NULL;1242;3
547;NULL;1446;4
548;NULL;310;5
549;NULL;1240;5
550;NULL;1444;6
551;NULL;312;6
552;NULL;1238;6
553;NULL;1442;7
554;NULL;314;8
555;NULL;350;9
556;NULL;1440;10
557;NULL;328;2
558;NULL;344;2
559;NULL;1438;1
560;NULL;330;1
561;NULL;342;4
562;NULL;1436;3
563;NULL;338;4
564;NULL;336;1
565;NULL;458;4
566;NULL;340;5
567;NULL;334;5
568;NULL;1112;6
569;NULL;346;6
570;NULL;332;6
571;NULL;1114;7
572;NULL;876;8
573;NULL;300;9
574;NULL;1116;10
575;NULL;878;2
576;NULL;298;2
577;NULL;1118;1
578;NULL;880;1
579;NULL;296;3
580;NULL;1120;4
581;NULL;882;4
582;NULL;294;4
583;NULL;1796;4
584;NULL;884;5
585;NULL;292;5
586;NULL;1798;6
587;NULL;886;6
588;NULL;668;6
589;NULL;1800;7
590;NULL;888;8
591;NULL;666;9
592;NULL;1802;10
593;NULL;890;2
594;NULL;664;2
595;NULL;1804;1
596;NULL;892;1
597;NULL;1100;4
598;NULL;1806;3
599;NULL;652;4
600;NULL;1098;4
601;NULL;1808;1
602;NULL;654;5
603;NULL;1096;5
604;NULL;1810;1
605;NULL;656;1
606;NULL;1094;3
607;NULL;1812;4
608;NULL;478;4
609;NULL;1092;4
610;NULL;1814;4
611;NULL;480;5
612;NULL;1090;5
613;NULL;1816;6
614;NULL;482;7
615;NULL;1088;8
616;NULL;1818;9
617;NULL;1122;10
618;NULL;1086;2
619;NULL;1820;2
620;NULL;1124;1
621;NULL;1084;1
622;NULL;1822;3
623;NULL;1126;3
624;NULL;1082;4
625;NULL;1824;4
626;NULL;1128;1
627;NULL;1080;5
628;NULL;1826;5
629;NULL;1130;6
630;NULL;1078;6
631;NULL;1364;6
632;NULL;1958;7
633;NULL;1076;8
634;NULL;1366;9
635;NULL;1960;10
636;NULL;1074;2
637;NULL;1368;6
638;NULL;1962;7
639;NULL;1072;8
640;NULL;1370;9
641;NULL;1964;10
642;NULL;1070;2
643;NULL;1372;3
644;NULL;1966;1
645;NULL;1068;1
646;NULL;1374;3
647;NULL;1968;4
648;NULL;1066;4
649;NULL;1376;4
650;NULL;1970;1
651;NULL;1064;5
652;NULL;1378;5
653;NULL;1972;6
654;NULL;1062;6
655;NULL;1060;6
656;NULL;1380;7
657;NULL;1974;8
658;NULL;1058;9
659;NULL;1382;10
660;NULL;1976;3
661;NULL;1056;6
662;NULL;1384;7
663;NULL;420;8
664;NULL;1054;9
665;NULL;1386;10
666;NULL;422;2
667;NULL;1052;2
668;NULL;1388;1
669;NULL;822;1
670;NULL;1050;3
671;NULL;1390;4
672;NULL;824;1
673;NULL;1048;1
674;NULL;1392;4
675;NULL;826;5
676;NULL;1046;5
677;NULL;1394;6
678;NULL;828;6
679;NULL;1044;6
680;NULL;1396;7
681;NULL;830;8
682;NULL;1042;9
683;NULL;1398;10
684;NULL;832;2
685;NULL;1040;6
686;NULL;1400;7
687;NULL;834;8
688;NULL;1038;9
689;NULL;1402;10
690;NULL;836;2
691;NULL;1036;2
692;NULL;802;1
693;NULL;838;1
694;NULL;1034;3
695;NULL;638;3
696;NULL;840;1
697;NULL;1032;1
698;NULL;640;1
699;NULL;842;5
700;NULL;1030;5
701;NULL;844;6
11000;13531;NULL;9
11001;5454;NULL;9
11002;11269;NULL;9
11003;11358;NULL;9
11004;11901;NULL;9
11005;6990;NULL;9
11006;6229;NULL;9
11007;3878;NULL;9
11008;14673;NULL;9
11009;20229;NULL;9
11010;6377;NULL;9
11011;18258;NULL;9
11012;11663;NULL;1
11013;13873;NULL;1
11014;2868;NULL;1
11015;10963;NULL;4
11016;3800;NULL;4
11017;2521;NULL;9
11018;7394;NULL;9
11019;5132;NULL;6
11020;17128;NULL;6
11021;11489;NULL;1
11022;6522;NULL;1
11023;4373;NULL;4
11024;16843;NULL;4
11025;12565;NULL;9
11026;2857;NULL;9
11027;5526;NULL;9
11028;15088;NULL;9
11029;15638;NULL;9
11030;17272;NULL;9
11031;13917;NULL;9
11032;16240;NULL;9
11033;9475;NULL;9
11034;9657;NULL;9
11035;13948;NULL;9
11036;20539;NULL;4
11037;11014;NULL;6
11038;18643;NULL;9
11039;15676;NULL;9
11040;15080;NULL;1
11041;9940;NULL;4
11042;19075;NULL;4
11043;5960;NULL;4
11044;5244;NULL;9
11045;5225;NULL;9
11046;19870;NULL;9
11047;12928;NULL;9
11048;13513;NULL;9
11049;8749;NULL;4
11050;17337;NULL;9
11051;18655;NULL;9
11052;15276;NULL;9
11053;7430;NULL;4
11054;9790;NULL;9
11055;9489;NULL;9
11056;8428;NULL;9
11057;16962;NULL;9
11058;15681;NULL;9
11059;8960;NULL;9
11060;13542;NULL;9
11061;18220;NULL;9
11062;6096;NULL;1
11063;8821;NULL;1
11064;15436;NULL;4
11065;3510;NULL;4
11066;19662;NULL;1
11067;16424;NULL;1
11068;2676;NULL;9
11069;10008;NULL;9
11070;13417;NULL;9
11071;13827;NULL;9
11072;16284;NULL;9
11073;20712;NULL;9
11074;7914;NULL;9
11075;14267;NULL;9
11076;4157;NULL;9
11077;17455;NULL;9
11078;15039;NULL;6
11079;20058;NULL;9
11080;14268;NULL;9
11081;10369;NULL;4
11082;7672;NULL;4
11083;20135;NULL;4
11084;4281;NULL;1
11085;12219;NULL;4
11086;17979;NULL;4
11087;11871;NULL;4
11088;17897;NULL;4
11089;3950;NULL;4
11090;12846;NULL;4
11091;4515;NULL;6
11092;6174;NULL;9
11093;5827;NULL;9
11094;3504;NULL;9
11095;20332;NULL;9
11096;5114;NULL;9
11097;13205;NULL;9
11098;5986;NULL;9
11099;5231;NULL;9
11100;6138;NULL;9
11101;17810;NULL;9
11102;9866;NULL;9
11103;8905;NULL;9
11104;8139;NULL;9
11105;15430;NULL;9
11106;5510;NULL;9
11107;4781;NULL;9
11108;10536;NULL;9
11109;11186;NULL;9
11110;18247;NULL;9
11111;10647;NULL;9
11112;20739;NULL;9
11113;14592;NULL;9
11114;18519;NULL;9
11115;4765;NULL;9
11116;14638;NULL;9
11117;20526;NULL;9
11118;4788;NULL;9
11119;14595;NULL;9
11120;6073;NULL;9
11121;19001;NULL;9
11122;19748;NULL;9
11123;19185;NULL;9
11124;11743;NULL;9
11125;17820;NULL;9
11126;17105;NULL;9
11127;9367;NULL;4
11128;12533;NULL;1
11129;10538;NULL;1
11130;6801;NULL;1
11131;3003;NULL;6
11132;8490;NULL;6
11133;7681;NULL;1
11134;18439;NULL;9
11135;4624;NULL;4
11136;19196;NULL;6
11137;11395;NULL;1
11138;11623;NULL;4
11139;14017;NULL;9
11140;13623;NULL;4
11141;19930;NULL;4
11142;13742;NULL;6
11143;6401;NULL;4
11144;4268;NULL;1
11145;19848;NULL;1
11146;3532;NULL;9
11147;6463;NULL;9
11148;11820;NULL;9
11149;6747;NULL;9
11150;16842;NULL;9
11151;14076;NULL;9
11152;17585;NULL;1
11153;8391;NULL;1
11154;11703;NULL;1
11155;17211;NULL;4
11156;9548;NULL;4
11157;13038;NULL;1
11158;17031;NULL;4
11159;19259;NULL;4
11160;9050;NULL;4
11161;12985;NULL;4
11162;14792;NULL;4
11163;5872;NULL;4
11164;14151;NULL;4
11165;7251;NULL;4
11166;12441;NULL;1
11167;19844;NULL;1
11168;18143;NULL;4
11169;14713;NULL;4
11170;3164;NULL;1
11171;16623;NULL;4
11172;10282;NULL;1
11173;12474;NULL;1
11174;19012;NULL;4
11175;5468;NULL;4
11176;15994;NULL;6
11177;5651;NULL;4
11178;17696;NULL;4
11179;16169;NULL;4
11180;20564;NULL;4
11181;4935;NULL;4
11182;3087;NULL;1
11183;11425;NULL;4
11184;18783;NULL;4
11185;12569;NULL;6
11186;12608;NULL;4
11187;20457;NULL;1
11188;9002;NULL;4
11189;14459;NULL;1
11190;13265;NULL;4
11191;10722;NULL;4
11192;17599;NULL;1
11193;14519;NULL;1
11194;7727;NULL;4
11195;19140;NULL;1
11196;2800;NULL;1
11197;9000;NULL;1
11198;8052;NULL;4
11199;7729;NULL;4
11200;5409;NULL;6
11201;3054;NULL;4
11202;7092;NULL;4
11203;5463;NULL;6
11204;20019;NULL;1
11205;18028;NULL;1
11206;13604;NULL;1
11207;8512;NULL;1
11208;3225;NULL;4
11209;9318;NULL;4
11210;13628;NULL;4
11211;12549;NULL;6
11212;9700;NULL;6
11213;3074;NULL;1
11214;4847;NULL;1
11215;7440;NULL;6
11216;19820;NULL;1
11217;10262;NULL;1
11218;11750;NULL;1
11219;15531;NULL;1
11220;2477;NULL;4
11221;5941;NULL;4
11222;2773;NULL;4
11223;3197;NULL;6
11224;2656;NULL;1
11225;12350;NULL;1
11226;2873;NULL;1
11227;11590;NULL;4
11228;12412;NULL;4
11229;15841;NULL;4
11230;9612;NULL;4
11231;17885;NULL;1
11232;3210;NULL;1
11233;18194;NULL;4
11234;3686;NULL;4
11235;15802;NULL;1
11236;13521;NULL;1
11237;7511;NULL;8
11238;3392;NULL;10
11239;16405;NULL;10
11240;14359;NULL;10
11241;2436;NULL;7
11242;18425;NULL;7
11243;13712;NULL;10
11244;12751;NULL;10
11245;15603;NULL;8
11246;6162;NULL;8
11247;5863;NULL;10
11248;12887;NULL;7
11249;7289;NULL;8
11250;2526;NULL;10
11251;13411;NULL;6
11252;19006;NULL;4
11253;17012;NULL;6
11254;15887;NULL;1
11255;13436;NULL;1
11256;10472;NULL;1
11257;7742;NULL;4
11258;4422;NULL;4
11259;19376;NULL;1
11260;7966;NULL;4
11261;9398;NULL;4
11262;20532;NULL;6
11263;8473;NULL;1
11264;5022;NULL;1
11265;11905;NULL;1
11266;3560;NULL;1
11267;6679;NULL;4
11268;9972;NULL;4
11269;6565;NULL;4
11270;17332;NULL;4
11271;9120;NULL;4
11272;11652;NULL;4
11273;5982;NULL;4
11274;5755;NULL;1
11275;11516;NULL;4
11276;15449;NULL;6
11277;4855;NULL;6
11278;16067;NULL;1
11279;2996;NULL;1
11280;15746;NULL;1
11281;19134;NULL;4
11282;18134;NULL;1
11283;10416;NULL;4
11284;13914;NULL;4
11285;3992;NULL;4
11286;6067;NULL;4
11287;15978;NULL;6
11288;7340;NULL;4
11289;9943;NULL;4
11290;9500;NULL;4
11291;10573;NULL;4
11292;4363;NULL;4
11293;5643;NULL;1
11294;4480;NULL;1
11295;12166;NULL;4
11296;3390;NULL;1
11297;6090;NULL;4
11298;13588;NULL;4
11299;18920;NULL;4
11300;13098;NULL;6
11301;17545;NULL;1
11302;13173;NULL;1
11303;20393;NULL;1
11304;11060;NULL;1
11305;15658;NULL;4
11306;6569;NULL;4
11307;17232;NULL;4
11308;13892;NULL;1
11309;11837;NULL;1
11310;8059;NULL;4
11311;10634;NULL;1
11312;8443;NULL;1
11313;12824;NULL;1
11314;7316;NULL;1
11315;3165;NULL;1
11316;17567;NULL;6
11317;19474;NULL;1
11318;12090;NULL;1
11319;8869;NULL;4
11320;10675;NULL;4
11321;8078;NULL;1
11322;10780;NULL;1
11323;6205;NULL;4
11324;18495;NULL;4
11325;5887;NULL;1
11326;12845;NULL;4
11327;12429;NULL;4
11328;13353;NULL;6
11329;2731;NULL;4
11330;17961;NULL;6
11331;12526;NULL;6
11332;9820;NULL;8
11333;12230;NULL;10
11334;11435;NULL;10
11335;7551;NULL;8
11336;17116;NULL;7
11337;7701;NULL;10
11338;18341;NULL;8
11339;17934;NULL;7
11340;16870;NULL;7
11341;18181;NULL;10
11342;10772;NULL;7
11343;10977;NULL;10
11344;5432;NULL;10
11345;13748;NULL;7
11346;9801;NULL;7
11347;11160;NULL;8
11348;20395;NULL;8
11349;4543;NULL;8
11350;4840;NULL;10
11351;14384;NULL;10
11352;19484;NULL;7
11353;17884;NULL;10
11354;9822;NULL;8
11355;14813;NULL;10
11356;4274;NULL;9
11357;6416;NULL;9
11358;19727;NULL;9
11359;2917;NULL;9
11360;6819;NULL;9
11361;18498;NULL;9
11362;13039;NULL;9
11363;13323;NULL;9
11364;9381;NULL;9
11365;17557;NULL;9
11366;7583;NULL;9
11367;9186;NULL;9
11368;4235;NULL;9
11369;8939;NULL;9
11370;19778;NULL;9
11371;11293;NULL;9
11372;13938;NULL;9
11373;4491;NULL;8
11374;15673;NULL;8
11375;16715;NULL;10
11376;14864;NULL;10
11377;1699;NULL;8
11378;2542;NULL;7
11379;19036;NULL;7
11380;17133;NULL;8
11381;10600;NULL;10
11382;13644;NULL;7
11383;10118;NULL;7
11384;2654;NULL;7
11385;4106;NULL;10
11386;12952;NULL;8
11387;19112;NULL;10
11388;18946;NULL;10
11389;5144;NULL;8
11390;19898;NULL;7
11391;19816;NULL;8
11392;13350;NULL;8
11393;4156;NULL;7
11394;20196;NULL;10
11395;6089;NULL;8
11396;4742;NULL;8
11397;16386;NULL;7
11398;13507;NULL;10
11399;15375;NULL;7
11400;8578;NULL;10
11401;13814;NULL;7
11402;12088;NULL;7
11403;15467;NULL;7
11404;11679;NULL;8
11405;3725;NULL;8
11406;16378;NULL;7
11407;16780;NULL;8
11408;10237;NULL;10
11409;7768;NULL;7
11410;9086;NULL;7
11411;14287;NULL;8
11412;2903;NULL;8
11413;19074;NULL;10
11414;14749;NULL;10
11415;18184;NULL;8
11416;16361;NULL;7
11417;12395;NULL;7
11418;12831;NULL;8
11419;16758;NULL;10
11420;16035;NULL;7
11421;20718;NULL;8
11422;2552;NULL;10
11423;19791;NULL;8
11424;15561;NULL;8
11425;8250;NULL;7
11426;16113;NULL;8
11427;13861;NULL;8
11428;9769;NULL;8
11429;3885;NULL;7
11430;16287;NULL;8
11431;3933;NULL;8
11432;7484;NULL;7
11433;9067;NULL;7
11434;16076;NULL;10
11435;13722;NULL;8
11436;3558;NULL;10
11437;2791;NULL;7
11438;11514;NULL;8
11439;6238;NULL;7
11440;7806;NULL;7
11441;18688;NULL;7
11442;18944;NULL;7
11443;19677;NULL;9
11444;16207;NULL;9
11445;10473;NULL;9
11446;17293;NULL;9
11447;10086;NULL;9
11448;5746;NULL;9
11449;4748;NULL;9
11450;19514;NULL;9
11451;11260;NULL;9
11452;18727;NULL;9
11453;4028;NULL;9
11454;14065;NULL;9
11455;11827;NULL;9
11456;13559;NULL;9
11457;7065;NULL;9
11458;4775;NULL;9
11459;8607;NULL;9
11460;4392;NULL;9
11461;19233;NULL;9
11462;2393;NULL;9
11463;12037;NULL;9
11464;12478;NULL;9
11465;13084;NULL;9
11466;9266;NULL;9
11467;10149;NULL;9
11468;12983;NULL;10
11469;13219;NULL;10
11470;10358;NULL;8
11471;6159;NULL;7
11472;2614;NULL;9
11473;19642;NULL;7
11474;4368;NULL;10
11475;3829;NULL;10
11476;18701;NULL;10
11477;12874;NULL;8
11478;15732;NULL;7
11479;5624;NULL;7
11480;12283;NULL;7
11481;2492;NULL;8
11482;7115;NULL;10
11483;9182;NULL;7
11484;2965;NULL;8
11485;20025;NULL;10
11486;9063;NULL;8
11487;11167;NULL;7
11488;8034;NULL;10
11489;8865;NULL;10
11490;14781;NULL;7
11491;16087;NULL;10
11492;4279;NULL;8
11493;12161;NULL;10
11494;15646;NULL;10
11495;2416;NULL;8
11496;19051;NULL;10
11497;16359;NULL;10
11498;10006;NULL;6
11499;11641;NULL;4
11500;12637;NULL;6
11501;19762;NULL;6
11502;14431;NULL;6
11503;17896;NULL;4
11504;10353;NULL;4
11505;19853;NULL;6
11506;18984;NULL;6
11507;2661;NULL;6
11508;11912;NULL;1
11509;12214;NULL;4
11510;4361;NULL;6
11511;5541;NULL;1
11512;9713;NULL;6
11513;20136;NULL;6
11514;13483;NULL;1
11515;2528;NULL;4
11516;7322;NULL;4
11517;2982;NULL;4
11518;13649;NULL;1
11519;7703;NULL;6
11520;9228;NULL;6
11521;8193;NULL;1
11522;6762;NULL;1
11523;4785;NULL;6
11524;11540;NULL;4
11525;9187;NULL;1
11526;2988;NULL;6
11527;10226;NULL;4
11528;7200;NULL;4
11529;6261;NULL;1
11530;18892;NULL;6
11531;4431;NULL;4
11532;11625;NULL;1
11533;9698;NULL;5
11534;17549;NULL;4
11535;4974;NULL;1
11536;6482;NULL;4
11537;12944;NULL;4
11538;11443;NULL;4
11539;6616;NULL;4
11540;6627;NULL;4
11541;12902;NULL;1
11542;12528;NULL;10
11543;8695;NULL;7
11544;20089;NULL;8
11545;7767;NULL;7
11546;19884;NULL;7
11547;7298;NULL;7
11548;19486;NULL;10
11549;20772;NULL;10
