salesorderid;revisionnumber;orderdate;duedate;shipdate;status;onlineorderflag;purchaseordernumber;accountnumber;customerid;territoryid;shiptoaddressid;creditcardid;subtotal;taxamt;freight;totaldue;comment
43683;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO2552113807;10-4020-000506;29497;1;889;13045;428134333;41071489;1283484;482040662;NULL
43684;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO3393188842;10-4020-000549;29912;5;971;267;55964705;5372612;1678941;63016258;NULL
43685;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO4176124783;10-4020-000458;30084;5;958;2519;27365678;263201;822503;30820191;NULL
43686;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO5075125561;10-4020-000344;29606;1;871;14612;34632998;3324768;103899;38996756;NULL
43687;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO4959110829;10-4020-000269;29610;2;783;3235;12583767;1208042;377513;14169322;NULL
43688;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO5365136389;10-4020-000161;29718;2;771;12399;127180844;12228838;3821512;143231194;NULL
43689;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO5626159507;10-4020-000166;29646;4;578;13054;339973702;32714942;10223419;382912063;NULL
43690;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO6235146326;10-4020-000431;29533;3;801;2337;12975901;1242027;388133;14606061;NULL
43691;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO6409111675;10-4020-000292;29570;4;592;242;874794;839802;262438;985018;NULL
43692;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO7859187017;10-4020-000221;29992;4;1024;7176;385108973;36963979;11551244;433624196;NULL
43693;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO8120182325;10-4020-000485;29491;5;807;8937;205414072;19695564;6154864;23126;NULL
43694;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO9657130250;10-4020-000315;29549;5;943;7083;20645634;19783257;6182268;232421865;NULL
43695;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO10179176559;10-4020-000027;29958;5;911;10163;39373781;37874632;11835823;443448265;NULL
43696;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO9947131800;10-4020-000603;29849;5;977;1402;4194589;402681;125838;4723108;NULL
43697;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;1;NULL;10-4030-021768;21768;6;23148;4319;3578;2862616;894568;39539884;NULL
43698;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;1;NULL;10-4030-028389;28389;7;24593;16625;3400;2719992;849998;3756989;NULL
43699;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;1;NULL;10-4030-025863;25863;1;19613;5796;3400;2719992;849998;3756989;NULL
43700;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;1;NULL;10-4030-014501;14501;4;20278;12860;6990982;559279;174775;7725036;NULL
43701;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;1;NULL;10-4030-011003;11003;9;20425;11150;3400;2719992;849998;3756989;NULL
43702;8;01-06-2011 0:00;13-06-2011 0:00;08-06-2011 0:00;5;1;NULL;10-4030-027645;27645;4;22584;8087;3578;2862616;894568;39539884;NULL
43703;8;01-06-2011 0:00;13-06-2011 0:00;08-06-2011 0:00;5;1;NULL;10-4030-016624;16624;9;23967;9497;3578;2862616;894568;39539884;NULL
43704;8;01-06-2011 0:00;13-06-2011 0:00;08-06-2011 0:00;5;1;NULL;10-4030-011005;11005;9;16025;1988;3375;2699992;843748;3729364;NULL
43705;8;01-06-2011 0:00;13-06-2011 0:00;08-06-2011 0:00;5;1;NULL;10-4030-011011;11011;9;27345;7205;3400;2719992;849998;3756989;NULL
43706;8;02-06-2011 0:00;14-06-2011 0:00;09-06-2011 0:00;5;1;NULL;10-4030-027621;27621;4;13264;10912;3578;2862616;894568;39539884;NULL
43707;8;02-06-2011 0:00;14-06-2011 0:00;09-06-2011 0:00;5;1;NULL;10-4030-027616;27616;4;20923;19069;3578;2862616;894568;39539884;NULL
43708;8;02-06-2011 0:00;14-06-2011 0:00;09-06-2011 0:00;5;1;NULL;10-4030-020042;20042;10;18427;4369;6990982;559279;174775;7725036;NULL
43709;8;02-06-2011 0:00;14-06-2011 0:00;09-06-2011 0:00;5;1;NULL;10-4030-016351;16351;9;13951;15524;3578;2862616;894568;39539884;NULL
43710;8;02-06-2011 0:00;14-06-2011 0:00;09-06-2011 0:00;5;1;NULL;10-4030-016517;16517;9;25446;5764;3578;2862616;894568;39539884;NULL
43711;8;03-06-2011 0:00;15-06-2011 0:00;10-06-2011 0:00;5;1;NULL;10-4030-027606;27606;1;18404;3043;3578;2862616;894568;39539884;NULL
43712;8;03-06-2011 0:00;15-06-2011 0:00;10-06-2011 0:00;5;1;NULL;10-4030-013513;13513;8;21867;6213;3578;2862616;894568;39539884;NULL
43713;8;04-06-2011 0:00;16-06-2011 0:00;11-06-2011 0:00;5;1;NULL;10-4030-027601;27601;4;11855;16570;3578;2862616;894568;39539884;NULL
43714;8;04-06-2011 0:00;16-06-2011 0:00;11-06-2011 0:00;5;1;NULL;10-4030-013591;13591;10;15169;15963;3578;2862616;894568;39539884;NULL
43715;8;04-06-2011 0:00;16-06-2011 0:00;11-06-2011 0:00;5;1;NULL;10-4030-016483;16483;9;28213;7985;3578;2862616;894568;39539884;NULL
43716;8;04-06-2011 0:00;16-06-2011 0:00;11-06-2011 0:00;5;1;NULL;10-4030-016529;16529;9;23557;5873;3578;2862616;894568;39539884;NULL
43717;8;04-06-2011 0:00;16-06-2011 0:00;11-06-2011 0:00;5;1;NULL;10-4030-025249;25249;9;11809;5700;6990982;559279;174775;7725036;NULL
43718;8;05-06-2011 0:00;17-06-2011 0:00;12-06-2011 0:00;5;1;NULL;10-4030-027668;27668;1;25346;3049;3578;2862616;894568;39539884;NULL
43719;8;05-06-2011 0:00;17-06-2011 0:00;12-06-2011 0:00;5;1;NULL;10-4030-027612;27612;4;13854;5998;3578;2862616;894568;39539884;NULL
43720;8;05-06-2011 0:00;17-06-2011 0:00;12-06-2011 0:00;5;1;NULL;10-4030-013264;13264;8;18584;2765;3578;2862616;894568;39539884;NULL
43721;8;05-06-2011 0:00;17-06-2011 0:00;12-06-2011 0:00;5;1;NULL;10-4030-013590;13590;10;22146;11950;3578;2862616;894568;39539884;NULL
43722;8;06-06-2011 0:00;18-06-2011 0:00;13-06-2011 0:00;5;1;NULL;10-4030-013581;13581;10;23990;12191;3578;2862616;894568;39539884;NULL
43723;8;06-06-2011 0:00;18-06-2011 0:00;13-06-2011 0:00;5;1;NULL;10-4030-014520;14520;1;12708;16949;6990982;559279;174775;7725036;NULL
43724;8;06-06-2011 0:00;18-06-2011 0:00;13-06-2011 0:00;5;1;NULL;10-4030-016520;16520;9;25572;6336;3578;2862616;894568;39539884;NULL
43725;8;07-06-2011 0:00;19-06-2011 0:00;14-06-2011 0:00;5;1;NULL;10-4030-013258;13258;8;23444;6640;3578;2862616;894568;39539884;NULL
43726;8;07-06-2011 0:00;19-06-2011 0:00;14-06-2011 0:00;5;1;NULL;10-4030-014560;14560;4;25989;8533;6990982;559279;174775;7725036;NULL
43727;8;07-06-2011 0:00;19-06-2011 0:00;14-06-2011 0:00;5;1;NULL;10-4030-016607;16607;9;15502;11407;3578;2862616;894568;39539884;NULL
43728;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-027666;27666;4;20616;15630;3578;2862616;894568;39539884;NULL
43729;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-011238;11238;10;12420;2636;3400;2719992;849998;3756989;NULL
43730;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-025861;25861;4;23733;13323;3400;2719992;849998;3756989;NULL
43731;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-016629;16629;9;14019;14302;3578;2862616;894568;39539884;NULL
43732;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-011025;11025;9;21635;10882;3375;2699992;843748;3729364;NULL
43733;8;08-06-2011 0:00;20-06-2011 0:00;15-06-2011 0:00;5;1;NULL;10-4030-027577;27577;1;24572;10600;3578;2862616;894568;39539884;NULL
43734;8;09-06-2011 0:00;21-06-2011 0:00;16-06-2011 0:00;5;1;NULL;10-4030-027604;27604;1;23224;15365;3578;2862616;894568;39539884;NULL
43735;8;09-06-2011 0:00;21-06-2011 0:00;16-06-2011 0:00;5;1;NULL;10-4030-016522;16522;9;25384;6526;3578;2862616;894568;39539884;NULL
43736;8;09-06-2011 0:00;21-06-2011 0:00;16-06-2011 0:00;5;1;NULL;10-4030-011002;11002;9;20336;1416;3400;2719992;849998;3756989;NULL
43737;8;10-06-2011 0:00;22-06-2011 0:00;17-06-2011 0:00;5;1;NULL;10-4030-013261;13261;8;29772;NULL;3578;2862616;894568;39539884;NULL
43738;8;10-06-2011 0:00;22-06-2011 0:00;17-06-2011 0:00;5;1;NULL;10-4030-011606;11606;7;26167;12005;3578;2862616;894568;39539884;NULL
43739;8;10-06-2011 0:00;22-06-2011 0:00;17-06-2011 0:00;5;1;NULL;10-4030-013563;13563;10;29262;NULL;3578;2862616;894568;39539884;NULL
43740;8;10-06-2011 0:00;22-06-2011 0:00;17-06-2011 0:00;5;1;NULL;10-4030-016527;16527;9;28420;18137;3578;2862616;894568;39539884;NULL
43741;8;11-06-2011 0:00;23-06-2011 0:00;18-06-2011 0:00;5;1;NULL;10-4030-027671;27671;1;13036;4679;3578;2862616;894568;39539884;NULL
43742;8;11-06-2011 0:00;23-06-2011 0:00;18-06-2011 0:00;5;1;NULL;10-4030-013576;13576;10;20966;17254;3578;2862616;894568;39539884;NULL
43743;8;11-06-2011 0:00;23-06-2011 0:00;18-06-2011 0:00;5;1;NULL;10-4030-011007;11007;9;12909;1546;3400;2719992;849998;3756989;NULL
43744;8;11-06-2011 0:00;23-06-2011 0:00;18-06-2011 0:00;5;1;NULL;10-4030-016631;16631;9;12423;12980;3578;2862616;894568;39539884;NULL
43745;8;12-06-2011 0:00;24-06-2011 0:00;19-06-2011 0:00;5;1;NULL;10-4030-016514;16514;9;25018;9626;3578;2862616;894568;39539884;NULL
43746;8;12-06-2011 0:00;24-06-2011 0:00;19-06-2011 0:00;5;1;NULL;10-4030-016616;16616;9;28214;5138;3578;2862616;894568;39539884;NULL
43747;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-027623;27623;4;27241;16044;3578;2862616;894568;39539884;NULL
43748;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-027625;27625;1;16663;14948;3578;2862616;894568;39539884;NULL
43749;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-027636;27636;1;17878;12504;3578;2862616;894568;39539884;NULL
43750;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-011591;11591;7;26694;15541;3578;2862616;894568;39539884;NULL
43751;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-011592;11592;7;17421;711;3578;2862616;894568;39539884;NULL
43752;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-013265;13265;8;25970;2736;3578;2862616;894568;39539884;NULL
43753;8;13-06-2011 0:00;25-06-2011 0:00;20-06-2011 0:00;5;1;NULL;10-4030-016482;16482;9;19434;7588;3578;2862616;894568;39539884;NULL
43754;8;14-06-2011 0:00;26-06-2011 0:00;21-06-2011 0:00;5;1;NULL;10-4030-027617;27617;1;18700;9734;3578;2862616;894568;39539884;NULL
43755;8;14-06-2011 0:00;26-06-2011 0:00;21-06-2011 0:00;5;1;NULL;10-4030-027670;27670;4;21785;14614;3578;2862616;894568;39539884;NULL
43756;8;14-06-2011 0:00;26-06-2011 0:00;21-06-2011 0:00;5;1;NULL;10-4030-019941;19941;10;12565;9528;6990982;559279;174775;7725036;NULL
43757;8;14-06-2011 0:00;26-06-2011 0:00;21-06-2011 0:00;5;1;NULL;10-4030-011017;11017;9;11541;12801;3375;2699992;843748;3729364;NULL
43758;8;15-06-2011 0:00;27-06-2011 0:00;22-06-2011 0:00;5;1;NULL;10-4030-027646;27646;4;14400;17093;3578;2862616;894568;39539884;NULL
43759;8;15-06-2011 0:00;27-06-2011 0:00;22-06-2011 0:00;5;1;NULL;10-4030-013257;13257;8;21516;11314;3578;2862616;894568;39539884;NULL
43760;8;15-06-2011 0:00;27-06-2011 0:00;22-06-2011 0:00;5;1;NULL;10-4030-016352;16352;9;11694;7485;3578;2862616;894568;39539884;NULL
43761;8;15-06-2011 0:00;27-06-2011 0:00;22-06-2011 0:00;5;1;NULL;10-4030-016493;16493;9;24449;11678;3578;2862616;894568;39539884;NULL
43762;8;16-06-2011 0:00;28-06-2011 0:00;23-06-2011 0:00;5;1;NULL;10-4030-027578;27578;4;19011;4503;3578;2862616;894568;39539884;NULL
43763;8;16-06-2011 0:00;28-06-2011 0:00;23-06-2011 0:00;5;1;NULL;10-4030-016525;16525;9;13961;17110;3578;2862616;894568;39539884;NULL
43764;8;16-06-2011 0:00;28-06-2011 0:00;23-06-2011 0:00;5;1;NULL;10-4030-016612;16612;9;18740;10644;3578;2862616;894568;39539884;NULL
43765;8;16-06-2011 0:00;28-06-2011 0:00;23-06-2011 0:00;5;1;NULL;10-4030-011010;11010;9;15412;10245;3400;2719992;849998;3756989;NULL
43766;8;17-06-2011 0:00;29-06-2011 0:00;24-06-2011 0:00;5;1;NULL;10-4030-016518;16518;9;26446;10469;3578;2862616;894568;39539884;NULL
43767;8;17-06-2011 0:00;29-06-2011 0:00;24-06-2011 0:00;5;1;NULL;10-4030-011001;11001;9;14489;8810;3375;2699992;843748;3729364;NULL
43768;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-027649;27649;1;24209;18040;3578;2862616;894568;39539884;NULL
43769;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-021659;21659;6;12365;7388;3578;2862616;894568;39539884;NULL
43770;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-027614;27614;1;21039;16136;3578;2862616;894568;39539884;NULL
43771;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-014559;14559;4;21657;16934;6990982;559279;174775;7725036;NULL
43772;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-016524;16524;9;15700;12834;3578;2862616;894568;39539884;NULL
43773;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-016526;16526;9;19998;19057;3578;2862616;894568;39539884;NULL
43774;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-016348;16348;9;20184;1311;3578;2862616;894568;39539884;NULL
43775;8;18-06-2011 0:00;30-06-2011 0:00;25-06-2011 0:00;5;1;NULL;10-4030-011027;11027;9;14561;6918;3400;2719992;849998;3756989;NULL
43776;8;19-06-2011 0:00;01-07-2011 0:00;26-06-2011 0:00;5;1;NULL;10-4030-013260;13260;8;15402;10653;3578;2862616;894568;39539884;NULL
43777;8;19-06-2011 0:00;01-07-2011 0:00;26-06-2011 0:00;5;1;NULL;10-4030-016515;16515;9;24873;1850;3578;2862616;894568;39539884;NULL
43778;8;19-06-2011 0:00;01-07-2011 0:00;26-06-2011 0:00;5;1;NULL;10-4030-011018;11018;9;16433;9930;3400;2719992;849998;3756989;NULL
43779;8;19-06-2011 0:00;01-07-2011 0:00;26-06-2011 0:00;5;1;NULL;10-4030-025252;25252;9;20850;6901;6990982;559279;174775;7725036;NULL
43780;8;20-06-2011 0:00;02-07-2011 0:00;27-06-2011 0:00;5;1;NULL;10-4030-011599;11599;7;25850;17097;3578;2862616;894568;39539884;NULL
43781;8;20-06-2011 0:00;02-07-2011 0:00;27-06-2011 0:00;5;1;NULL;10-4030-016495;16495;9;22857;5269;3578;2862616;894568;39539884;NULL
43782;8;20-06-2011 0:00;02-07-2011 0:00;27-06-2011 0:00;5;1;NULL;10-4030-016516;16516;9;13386;9916;3578;2862616;894568;39539884;NULL
43783;8;20-06-2011 0:00;02-07-2011 0:00;27-06-2011 0:00;5;1;NULL;10-4030-016620;16620;9;26601;4651;3578;2862616;894568;39539884;NULL
43784;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-027667;27667;4;12491;15794;3578;2862616;894568;39539884;NULL
43785;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-011601;11601;7;17236;3584;3578;2862616;894568;39539884;NULL
43786;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-011607;11607;7;23683;12315;3578;2862616;894568;39539884;NULL
43787;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-029385;29385;8;29348;NULL;3400;2719992;849998;3756989;NULL
43788;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-011239;11239;10;25489;2999;3375;2699992;843748;3729364;NULL
43789;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-025865;25865;1;21950;13143;3375;2699992;843748;3729364;NULL
43790;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-025857;25857;1;21871;2574;3400;2719992;849998;3756989;NULL
43791;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-016484;16484;9;11580;2480;3578;2862616;894568;39539884;NULL
43792;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-016623;16623;9;14105;3696;3578;2862616;894568;39539884;NULL
43793;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-011000;11000;9;22601;11981;3400;2719992;849998;3756989;NULL
43794;8;21-06-2011 0:00;03-07-2011 0:00;28-06-2011 0:00;5;1;NULL;10-4030-011029;11029;9;24713;103;3400;2719992;849998;3756989;NULL
43795;8;22-06-2011 0:00;04-07-2011 0:00;29-06-2011 0:00;5;1;NULL;10-4030-027615;27615;4;12290;10180;3578;2862616;894568;39539884;NULL
43796;8;22-06-2011 0:00;04-07-2011 0:00;29-06-2011 0:00;5;1;NULL;10-4030-017956;17956;7;11860;14408;6990982;559279;174775;7725036;NULL
43797;8;22-06-2011 0:00;04-07-2011 0:00;29-06-2011 0:00;5;1;NULL;10-4030-016345;16345;9;11578;3803;3578;2862616;894568;39539884;NULL
43798;8;22-06-2011 0:00;04-07-2011 0:00;29-06-2011 0:00;5;1;NULL;10-4030-016521;16521;9;17493;15729;3578;2862616;894568;39539884;NULL
43799;8;22-06-2011 0:00;04-07-2011 0:00;29-06-2011 0:00;5;1;NULL;10-4030-016636;16636;9;23813;10936;3578;2862616;894568;39539884;NULL
43800;8;23-06-2011 0:00;05-07-2011 0:00;30-06-2011 0:00;5;1;NULL;10-4030-021710;21710;6;16244;1500;3578;2862616;894568;39539884;NULL
43801;8;23-06-2011 0:00;05-07-2011 0:00;30-06-2011 0:00;5;1;NULL;10-4030-013583;13583;10;22676;10067;3578;2862616;894568;39539884;NULL
43802;8;23-06-2011 0:00;05-07-2011 0:00;30-06-2011 0:00;5;1;NULL;10-4030-011593;11593;7;15981;15557;3578;2862616;894568;39539884;NULL
43803;8;24-06-2011 0:00;06-07-2011 0:00;01-07-2011 0:00;5;1;NULL;10-4030-021741;21741;6;17092;2467;3578;2862616;894568;39539884;NULL
43804;8;24-06-2011 0:00;06-07-2011 0:00;01-07-2011 0:00;5;1;NULL;10-4030-013585;13585;10;18048;13404;3578;2862616;894568;39539884;NULL
43805;8;24-06-2011 0:00;06-07-2011 0:00;01-07-2011 0:00;5;1;NULL;10-4030-014510;14510;1;26084;7010;6990982;559279;174775;7725036;NULL
43806;8;24-06-2011 0:00;06-07-2011 0:00;01-07-2011 0:00;5;1;NULL;10-4030-016523;16523;9;26735;15755;3578;2862616;894568;39539884;NULL
43807;8;25-06-2011 0:00;07-07-2011 0:00;02-07-2011 0:00;5;1;NULL;10-4030-011611;11611;7;15499;16891;3578;2862616;894568;39539884;NULL
43808;8;25-06-2011 0:00;07-07-2011 0:00;02-07-2011 0:00;5;1;NULL;10-4030-013259;13259;8;24940;10353;3578;2862616;894568;39539884;NULL
43809;8;25-06-2011 0:00;07-07-2011 0:00;02-07-2011 0:00;5;1;NULL;10-4030-016350;16350;9;12891;14752;3578;2862616;894568;39539884;NULL
43810;8;25-06-2011 0:00;07-07-2011 0:00;02-07-2011 0:00;5;1;NULL;10-4030-011004;11004;9;20971;12777;3400;2719992;849998;3756989;NULL
43811;8;25-06-2011 0:00;07-07-2011 0:00;02-07-2011 0:00;5;1;NULL;10-4030-011026;11026;9;11877;8888;3400;2719992;849998;3756989;NULL
43812;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-027662;27662;4;13852;7442;3578;2862616;894568;39539884;NULL
43813;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-028390;28390;7;16896;10022;3375;2699992;843748;3729364;NULL
43814;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-025866;25866;1;21939;1085;3375;2699992;843748;3729364;NULL
43815;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-016494;16494;9;15915;12070;3578;2862616;894568;39539884;NULL
43816;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-016496;16496;9;21277;14211;3578;2862616;894568;39539884;NULL
43817;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-016519;16519;9;12674;10904;3578;2862616;894568;39539884;NULL
43818;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-016528;16528;9;16539;13485;3578;2862616;894568;39539884;NULL
43819;8;26-06-2011 0:00;08-07-2011 0:00;03-07-2011 0:00;5;1;NULL;10-4030-011006;11006;9;15264;5054;3400;2719992;849998;3756989;NULL
43820;8;27-06-2011 0:00;09-07-2011 0:00;04-07-2011 0:00;5;1;NULL;10-4030-027651;27651;4;24200;12947;3578;2862616;894568;39539884;NULL
43821;8;27-06-2011 0:00;09-07-2011 0:00;04-07-2011 0:00;5;1;NULL;10-4030-027663;27663;4;24836;6912;3578;2862616;894568;39539884;NULL
43822;8;27-06-2011 0:00;09-07-2011 0:00;04-07-2011 0:00;5;1;NULL;10-4030-027669;27669;4;20019;17504;3578;2862616;894568;39539884;NULL
